lqd,00110100
lqa,001100001
lqr,001100111
stqd,00100100
stqa,001000001
stqr,001000111
ilh,010000011
ilhu,010000010
iohl,011000001
il,010000001 
ila,0100001 
fsmbi,001100101 
ah,00011001000
ahi,00011101
a,00011000000
ai,00011100
sfh,00001001000
sfhi,00001101
sf,00001000000
sfi,00001100
mpy,01111000100
mpyu,01111001100
mypi,01110100
mpyui,01110101
mpya,1100
mpyh,01111000101
clz,01010100101
cntb,01010110100
fsmb,00110110110
fsmh,00110110101
fsm,00110110100
gbb,00110110010
gb,00110110000
avgb,00011010011
absdb,00001010011 
sumb,01001010011
and,00011000001 
andbi,00010110
andi,00010100
or,00001000001
orbi,00000110
ori,00000100
orx,00111110000
xor,01001000001
xorbi,01000110
xorhi,01000101
xori,01000100
shlh,00001011111 
shlhi,00001111111 
shl,00001011011
shli,00001111011
shlqby,00111011111
shlqbyi,00111111111
roth,00001011100
rothi,00001111100
rot,00001011000
roti,00001111000
rotqby,00111011100
rotqybi,00111111100
rothm,00001011101 
rotm,00001011001
rotmi,00001111001
rotqmby,00111011101
rotqmbyi,00111111101
rotmah,00001011110
rotmahi,00001111110
rotma,00001011010
rotmai,00001111010
ceqb,01111010000
ceqbi,01111110
ceqh,01111001000
ceqhi,01111101 
ceq,01111000000
ceqi,01111100
cgtb,01001010000
cgtbi,01001110
cgth,01001001000
cgthi,01001101
cgt,01001000000
cgti,01001100
clgtb,01011010000
clgtbi,01011110
clgth,01011001000
clgthi,01011101
clgt,01011000000
clgti,01011100
br,001100100
brsl,001100110
brz,001000000
brnz,001000010
fa,01011000100
fs,01011000101
fm,01011000110
fma,1110
fms,1111
csflt,0111011010
cflts,0111011000
cuflt,0111011011
cfltu,0111011001 
fceq,01111000010
fcmeq,01111001010
fcgt,01011000010
fcmgt,01011001010
stop,00000000000
lnop,00000000001
nop,01000000001